MASTER DATA
""
Company/Personal Data,,,
FLO-ID,VAT Number,Legal Status,,Company Name,,,
1341.0,n/a,Trading Limited Incorporation,,"Cooperative Coffees Inc. ",,,
2178.0,n/a,Trading Limited Incorporation,,Importadores y Distribuidores de la Materia Para America Latina,,,
3341.0,n/a,Trading Limited Incorporation,,Importadores de la Café Justo de la Paz,,,
7855.0,n/a,Cooperative,,Union de Cooperativas Tosepan Titataniske,,,
2215.0,n/a,Cooperative,,Union de Productores Maya Vinic,,,
3992.0,n/a,Cooperative,,Comité Campesino del Altiplano Campesino del Altiplano (CCDA) Café Justifia,,,
"",,,,,,,,,
Address,,,,,,,,,
FLO-ID,Address,,,Post Code,City,State,Country,,
1341.0,302 W. Lamar St.,,,310709.0,Georgia,Georgia,USA,,
2178.0,"102 Van Dyke St., Bayonne, NJ",,,8901.0,Bayonne,New Jersey,USA,,
3341.0,"12 East Bay St. Charleston, SC",,,29401.0,Charleston,South Carolina,USA,,
7855.0,"Juárez y Galeana S/N. Centro. Cuetzalan, Puebla.",,,73565.0,Cuetzalan,Puebla,Mexico,,
2215.0,"Chenalho, Chiapas, Mexico",,,29870.0,Chenalho,Chiapas,Mexico,,
3992.0,"Huituipan, Chiapas, Mexico",,,29717.0,Huituipan,Chiapas,Mexico,,
"",,,,,,,,,
""
"",,,,,,,
Contact,,,,,,,
FLO-ID,Phone,Fax,Email,Homepage,,,
1341.0,5.149079853E9,5.149079855E9,patterson@coopcoffees.com,http://www.coopcoffees.com/,,,
2178.0,2.013334556E9,2.013334566E9,collocini@idmpal.com,http://www.idmpal.com,,,
3341.0,8.433368901E9,8.433368906E9,aliceinwonderland@icaju.coffee.com,http://www.icaju.coffee.com/,,,
7855.0,2.00889002E8,2.00889004E8,hernandez@yahoo.com,"http://www.uniontosepan.org/ ",,,
2215.0,9.19223442E8,9.19223447E8,maradona@gmail.com,"http://www.mayavinic.com/ ",,,
3992.0,9.19554788E8,9.19554738E8,oscar.tabarez@lycos.com,"http://www.ccda.galeon.com/ ",,,
"",,,,,,,
