FLO-ID,CompanyName,Phone,Email,Homepage,City,State,Country,LegalStatus

1341,Cooperative CoffeesInc. ,5149079853,patterson@coopcoffees.com,http://www.coopcoffees.com/,Georgia,Georgia,USA,Trading Limited Incorporation

2178,Importadores y Distribuidores de la Materia Para America Latina,2013334556,collocini@idmpal.com,http://www.idmpal.com,Bayonne,New Jersey,USA,Trading Limited Incorporation

3341,Importadores de la Café Justo de la Paz,8433368901,aliceinwonderland@icaju.coffee.com,http://www.icaju.coffee.com/,Charleston,South Carolina,USA,Trading Limited Incorporation

7855,Union de Cooperativas Tosepan Titataniske,200889002,hernandez@yahoo.com,http://www.uniontosepan.org/,Cuetzalan,Puebla,Mexico,Cooperative

2215,Union de Productores Maya Vinic,919223442,maradona@gmail.com,http://www.mayavinic.com/,Chenalho,Chiapas,Mexico,Cooperative

3992,Comité Campesino del Altiplano Campesino del Altiplano (CCDA) Café Justifia,919554788,oscar.tabarez@lycos.com,http://www.ccda.galeon.com/ ,Huituipan,Chiapas,Mexico,Cooperative

4457,Maritime le Torréfacteur,902223445,oleary.edwin@maritimecoffee.com,http://www.maritimecoffee.com,Halifax,Nova Scotia,Canada,Trading Limited Incorporation

6230,Centro de Distribucion del Café Agromercado Exportador ,200921100,higuain@gmail.com,http://www.agromercado.co.mx,Heroica Veracruz,Veracruz,Mexico,Trading Limited Incorporation
